tijd	koppel	stroom	spanning	kadans	snelheid
2.257	2.105	0.505	3.793	0.00	0.00
2.337	2.105	0.505	3.798	0.00	0.00
2.412	2.110	0.491	3.798	0.00	0.00
2.487	2.110	0.505	3.798	0.00	0.00
2.562	2.110	0.501	3.793	0.00	0.00
2.635	2.110	0.505	3.798	0.00	0.00
2.710	2.110	0.505	3.798	0.00	0.00
2.785	2.110	0.496	3.798	0.00	0.00
2.856	2.110	0.505	3.798	0.00	0.00
2.932	2.115	0.501	3.793	0.00	0.00
3.004	2.115	0.505	3.798	0.00	0.00
3.076	2.115	0.505	3.798	0.00	0.00
3.148	2.115	0.510	3.798	0.00	0.00
3.220	2.115	0.501	3.793	0.00	0.00
3.292	2.115	0.501	3.793	0.00	0.00
3.364	2.115	0.501	3.793	0.00	0.00
3.436	2.110	0.501	3.798	5.37	0.00
3.508	2.110	0.501	3.793	5.37	0.00
3.580	2.115	0.510	3.793	5.37	0.00
3.652	2.110	0.505	3.793	5.37	0.00
3.725	2.115	0.510	3.798	5.37	0.00
3.796	2.115	0.510	3.798	5.37	0.00
3.868	2.110	0.505	3.798	5.37	0.00
3.944	2.115	0.510	3.793	0.00	0.00
4.016	2.110	0.505	3.793	0.00	0.00
4.088	2.110	0.501	3.793	0.00	0.00
4.160	2.115	0.505	3.798	0.00	0.00
4.232	2.110	0.510	3.798	0.00	0.00
4.304	2.115	0.515	3.793	0.00	0.00
4.376	2.110	0.496	3.793	0.00	0.00
4.448	2.115	0.501	3.798	0.00	0.00
4.520	2.115	0.496	3.793	0.00	0.00
4.593	2.115	0.505	3.798	0.00	0.00
4.666	2.110	0.505	3.793	0.00	0.00
4.738	2.115	0.491	3.793	0.00	0.00
4.809	2.115	0.505	3.793	0.00	0.00
4.882	2.115	0.501	3.798	0.00	0.00
4.954	2.115	0.501	3.793	0.00	0.00
5.029	2.115	0.501	3.798	0.00	0.00
5.101	2.115	0.505	3.798	0.00	0.00
5.173	2.115	0.496	3.798	0.00	0.00
5.245	2.115	0.501	3.793	0.00	0.00
5.317	2.110	0.501	3.793	0.00	0.00
5.389	2.105	0.510	3.793	0.00	0.00
5.462	2.100	0.501	3.793	0.00	0.00
5.533	2.100	0.491	3.793	0.00	0.00
5.605	2.105	0.505	3.793	0.00	0.00
5.677	2.105	0.505	3.798	0.00	0.00
5.749	2.105	0.501	3.793	0.00	0.00
5.821	2.105	0.505	3.798	0.00	0.00
5.893	2.105	0.501	3.793	0.00	0.00
5.965	2.086	0.505	3.793	0.00	0.00
6.037	2.086	0.501	3.798	0.00	0.00
6.112	2.071	0.510	3.798	0.00	1.89
6.184	2.066	0.496	3.798	0.00	1.89
6.256	2.061	0.501	3.793	2.64	1.89
6.328	2.056	0.501	3.798	2.64	1.89
6.401	2.051	0.491	3.798	2.64	1.89
6.472	2.056	0.501	3.798	2.64	1.89
6.545	2.056	0.501	3.793	2.64	1.89
6.617	2.051	0.496	3.798	2.64	1.89
6.688	2.056	0.501	3.793	2.64	1.89
6.761	2.130	0.505	3.793	0.00	1.89
6.833	2.149	0.505	3.793	0.00	1.89
6.904	2.154	0.505	3.798	11.61	1.89
6.977	2.169	0.520	3.798	11.61	1.89
7.049	2.184	0.505	3.798	11.61	1.89
7.135	2.174	0.501	3.793	11.61	1.89
7.207	2.140	0.496	3.798	11.61	1.89
7.279	2.105	0.510	3.798	11.61	1.89
7.352	2.090	0.501	3.793	17.01	1.89
7.424	2.071	0.501	3.793	17.01	1.89
7.496	2.036	0.496	3.793	17.01	1.89
7.568	1.968	0.505	3.798	17.01	1.89
7.641	1.855	0.501	3.793	17.01	1.89
7.729	1.722	0.505	3.705	17.01	1.89
7.800	1.590	0.854	3.862	17.28	1.89
7.872	1.595	1.722	3.523	17.28	4.54
7.945	1.497	1.242	3.759	17.28	4.54
8.016	1.511	1.811	3.469	17.28	4.54
8.089	1.659	1.364	3.710	17.28	4.54
8.165	1.801	1.472	3.518	20.72	4.54
8.237	1.840	1.639	3.631	20.72	4.54
8.309	1.806	1.448	3.445	20.72	4.54
8.382	1.776	1.403	3.469	20.72	4.54
8.454	1.811	1.207	3.420	20.72	4.54
8.526	1.860	1.070	3.734	20.72	4.54
8.599	1.821	0.967	3.366	20.72	4.54
8.672	1.845	0.957	3.803	0.00	4.54
8.743	1.850	0.800	3.474	0.00	4.54
8.816	1.855	0.510	3.656	0.00	4.54
8.888	1.865	0.505	3.671	0.00	7.64
8.961	1.870	0.501	3.680	0.00	7.64
9.032	1.879	0.510	3.690	0.00	7.64
9.105	1.879	0.501	3.695	0.00	7.64
9.178	1.879	0.505	3.700	0.00	7.64
9.252	1.894	0.505	3.705	0.00	7.64
9.325	1.914	0.505	3.710	0.00	7.64
9.398	1.884	0.505	3.720	0.00	7.64
9.469	1.889	0.496	3.725	0.00	7.64
9.542	1.899	0.505	3.725	0.00	7.64
9.614	1.914	0.496	3.729	0.00	7.64
9.687	1.894	0.505	3.734	0.00	7.64
9.759	1.914	0.505	3.734	0.00	8.68
9.831	1.933	0.501	3.739	0.00	8.68
9.904	1.914	0.501	3.744	0.00	8.68
9.975	1.924	0.501	3.744	4.15	8.68
10.048	1.973	0.496	3.744	4.15	8.68
10.121	1.987	0.491	3.749	4.15	8.68
10.192	1.929	0.501	3.754	4.15	8.68
10.268	1.948	0.501	3.754	4.15	8.68
10.341	1.953	0.491	3.759	4.15	8.68
10.413	1.953	0.501	3.759	4.15	8.68
10.485	2.007	0.501	3.759	0.00	8.68
10.558	2.036	0.496	3.759	0.00	8.68
10.630	2.041	0.496	3.759	0.00	8.68
10.702	2.041	0.501	3.759	0.00	8.68
10.782	2.046	0.501	3.764	0.00	7.35
10.854	2.046	0.501	3.764	0.00	7.35
10.927	2.036	0.505	3.764	0.00	7.35
10.999	2.032	0.505	3.769	0.00	7.35
11.071	2.036	0.501	3.764	0.00	7.35
11.144	2.046	0.501	3.769	0.00	7.35
11.215	2.071	0.505	3.769	6.02	7.35
11.288	2.090	0.501	3.774	6.02	7.35
11.364	2.100	0.501	3.769	6.02	7.35
11.436	2.105	0.505	3.774	6.02	7.35
11.508	2.110	0.510	3.774	6.02	7.35
11.581	2.110	0.510	3.774	19.04	7.35
11.653	2.105	0.501	3.774	19.04	7.35
11.725	2.095	0.501	3.774	19.04	7.35
11.798	2.095	0.501	3.774	19.04	7.35
11.871	2.090	0.496	3.778	19.04	7.35
11.942	2.081	0.491	3.774	19.04	7.35
12.015	2.095	0.505	3.778	19.28	7.35
12.088	2.110	0.501	3.778	19.28	7.35
12.160	2.135	0.505	3.778	19.28	5.88
12.232	2.140	0.510	3.778	19.28	5.88
12.305	2.154	0.501	3.778	19.28	5.88
12.375	2.154	0.501	3.778	20.95	5.88
12.447	2.154	0.501	3.788	20.95	5.88
12.520	2.149	0.564	3.975	20.95	5.88
12.592	2.105	0.952	3.788	20.95	5.88
12.664	2.071	1.197	3.518	22.59	5.88
12.737	2.036	1.256	3.720	22.59	5.88
12.809	1.987	1.276	3.577	22.59	5.88
12.881	1.909	1.497	3.460	22.59	5.88
12.954	1.953	0.761	3.729	22.59	5.88
13.026	1.963	0.501	3.690	24.75	5.88
13.105	1.938	0.505	3.700	24.75	5.88
13.177	1.929	0.501	3.705	24.75	7.45
13.249	1.943	0.501	3.710	24.75	7.45
13.325	1.938	0.505	3.715	24.75	7.45
13.398	1.938	0.505	3.720	24.75	7.45
13.470	1.953	0.510	3.729	0.00	7.45
13.542	1.958	0.496	3.729	0.00	7.45
13.615	1.943	0.501	3.734	0.00	7.45
13.686	1.938	0.496	3.739	11.00	7.45
13.759	1.938	0.501	3.744	11.00	7.45
13.856	1.899	0.501	3.744	11.00	7.45
13.929	1.938	0.496	3.749	28.74	7.45
14.001	1.982	0.510	3.749	28.74	7.45
14.073	2.007	0.501	3.754	28.74	7.45
14.146	2.032	0.510	3.754	28.74	7.89
14.218	2.061	0.496	3.759	24.83	7.89
14.290	2.095	0.510	3.656	24.83	7.89
14.366	2.090	0.667	3.695	24.83	7.89
14.438	2.120	0.957	3.592	24.83	7.89
14.511	2.169	1.016	3.553	25.00	7.89
14.583	2.140	1.492	3.558	25.00	7.89
14.656	2.213	1.148	3.582	25.00	7.89
14.728	2.164	1.369	3.494	25.00	7.89
14.800	2.252	1.281	3.558	26.13	7.89
14.873	2.262	1.492	3.577	26.13	7.89
14.945	2.282	0.962	3.739	26.13	7.89
15.017	2.277	1.143	3.509	26.13	7.89
15.090	2.208	1.222	3.499	25.86	8.15
15.162	2.228	1.173	3.641	25.86	8.15
15.235	2.179	0.501	3.661	25.86	8.15
15.307	2.140	0.496	3.671	25.86	8.15
15.383	2.100	0.501	3.685	27.08	8.15
15.455	2.051	0.501	3.690	27.08	8.15
15.527	1.938	0.515	3.725	27.08	8.15
15.600	1.737	0.530	3.631	27.08	8.15
15.672	1.673	0.878	3.602	26.60	8.15
15.745	1.580	0.756	3.759	26.60	8.15
15.817	1.506	1.001	3.567	26.60	8.15
15.889	1.448	0.883	3.479	26.60	8.15
15.962	1.428	0.962	3.455	28.52	8.15
16.034	1.467	0.981	3.518	28.52	8.51
16.106	1.703	1.006	3.567	28.52	8.51
16.179	1.668	0.805	3.823	26.98	8.51
16.251	1.767	0.805	3.533	26.98	8.51
16.324	1.938	0.942	3.558	26.98	8.51
16.399	2.036	1.021	3.715	26.98	8.51
16.472	2.046	0.893	3.862	30.49	8.51
16.544	2.061	0.834	3.523	30.49	8.51
16.616	2.076	0.898	3.528	30.49	8.51
16.689	2.076	1.006	3.587	32.05	8.51
16.761	2.081	0.761	3.445	32.05	8.51
16.858	2.081	0.736	3.499	32.05	9.65
16.930	2.110	0.770	3.518	33.19	9.65
17.003	2.125	0.780	3.818	33.19	9.65
17.075	2.144	0.677	3.725	33.19	9.65
17.147	2.174	0.726	3.774	33.78	9.65
17.220	2.154	0.697	3.729	33.78	9.65
17.292	2.110	0.716	3.563	33.78	9.65
17.364	2.056	0.677	3.602	35.05	9.65
17.440	1.899	0.687	3.617	35.05	9.65
17.513	1.722	0.667	3.852	35.05	11.05
17.585	1.619	0.638	3.872	36.41	11.05
17.657	1.580	0.633	3.823	36.41	11.05
17.730	1.600	0.653	3.636	38.27	11.05
17.802	1.644	0.608	3.828	38.27	11.05
17.874	1.767	0.638	3.847	38.27	11.05
17.947	1.870	0.604	3.563	37.13	11.05
18.019	1.987	0.584	3.798	37.13	11.05
18.092	2.051	0.550	3.661	37.13	11.05
18.164	2.061	0.545	3.646	37.13	12.07
18.236	2.046	0.559	3.602	37.13	12.07
18.309	1.992	0.579	3.778	37.13	12.07
18.384	1.968	0.599	3.641	18.38	12.07
18.457	1.987	0.604	3.617	18.38	12.07
18.529	1.992	0.515	3.744	18.38	12.07
18.601	2.002	0.510	3.729	18.38	12.07
18.674	2.022	0.501	3.729	18.38	12.07
18.746	2.022	0.510	3.734	18.38	12.07
18.819	2.012	0.505	3.734	18.38	12.28
18.891	2.027	0.501	3.739	0.00	12.28
18.963	2.002	0.501	3.739	13.07	12.28
19.036	1.982	0.496	3.744	13.07	12.28
19.108	1.997	0.505	3.744	13.07	12.28
19.181	2.002	0.491	3.744	13.07	12.28
19.253	2.007	0.501	3.749	13.07	12.28
19.325	1.997	0.505	3.749	13.07	12.28
19.401	2.007	0.510	3.754	13.07	12.28
19.473	2.022	0.501	3.754	0.00	11.95
19.546	2.007	0.496	3.754	0.00	11.95
19.618	2.002	0.501	3.759	0.00	11.95
19.690	2.012	0.496	3.754	0.00	11.95
19.763	2.007	0.501	3.759	0.00	11.95
19.834	1.987	0.505	3.759	0.00	11.95
19.922	2.002	0.501	3.764	7.50	11.95
19.994	1.997	0.496	3.759	7.50	11.95
20.067	1.987	0.510	3.764	7.50	12.07
20.140	1.997	0.501	3.764	7.50	12.07
20.211	2.002	0.491	3.764	7.50	12.07
20.284	1.982	0.501	3.764	7.50	12.07
20.356	1.982	0.505	3.764	7.50	12.07
20.431	1.987	0.491	3.769	0.00	12.07
20.504	1.987	0.505	3.769	0.00	12.07
20.576	1.963	0.505	3.769	0.00	12.07
20.648	1.982	0.501	3.764	0.00	12.07
20.720	1.982	0.501	3.769	0.00	12.07
20.793	1.973	0.501	3.769	0.00	12.07
20.866	1.973	0.501	3.769	0.00	10.43
20.937	1.973	0.501	3.769	0.00	10.43
21.010	1.963	0.505	3.769	0.00	10.43
21.082	1.948	0.501	3.769	0.00	10.43
21.154	1.919	0.505	3.769	0.00	10.43
21.227	1.909	0.505	3.774	0.00	10.43
21.299	1.904	0.496	3.774	0.00	10.43
21.374	1.879	0.501	3.774	0.00	10.43
21.446	1.904	0.505	3.774	0.00	10.43
21.519	1.914	0.496	3.774	0.00	10.43
21.592	1.948	0.505	3.774	0.00	10.43
21.663	1.973	0.510	3.774	0.00	10.43
21.736	1.943	0.501	3.774	0.00	10.43
21.808	1.978	0.501	3.774	0.00	10.43
21.880	2.036	0.505	3.774	0.00	7.50
21.952	2.002	0.496	3.774	0.00	7.50
22.025	2.012	0.505	3.778	0.00	7.50
22.097	2.012	0.496	3.774	0.00	7.50
22.169	2.007	0.501	3.778	0.00	7.50
22.242	2.022	0.496	3.774	0.00	7.50
22.313	2.007	0.491	3.774	0.00	7.50
22.389	1.982	0.501	3.778	0.00	7.50
22.461	2.017	0.501	3.778	0.00	7.50
22.534	2.036	0.505	3.774	0.00	7.50
22.605	1.992	0.505	3.778	0.00	7.50
22.678	2.017	0.491	3.778	0.00	7.50
22.750	2.036	0.505	3.774	0.00	7.50
22.822	2.012	0.501	3.778	0.00	7.50
22.910	2.017	0.501	3.778	0.00	7.50
22.982	2.032	0.505	3.774	0.00	7.50
23.055	2.027	0.505	3.774	0.00	7.50
23.127	2.032	0.505	3.778	0.00	7.50
23.199	2.041	0.505	3.778	0.00	7.50
23.271	2.046	0.505	3.778	0.00	7.50
23.344	2.041	0.505	3.778	0.00	5.17
23.416	2.076	0.510	3.778	0.00	5.17
23.491	2.061	0.501	3.778	0.00	5.17
23.564	2.041	0.505	3.778	0.00	5.17
23.635	2.056	0.501	3.778	0.00	5.17
23.708	2.071	0.505	3.778	0.00	5.17
23.780	2.076	0.510	3.778	1.96	5.17
23.853	2.071	0.505	3.778	1.96	5.17
23.925	2.095	0.505	3.778	1.96	5.17
23.997	2.100	0.501	3.778	1.96	5.17
24.070	2.115	0.510	3.778	1.96	5.17
24.141	2.125	0.501	3.778	1.96	5.17
24.214	2.125	0.501	3.778	1.96	5.17
24.286	2.120	0.496	3.778	0.00	5.17
24.358	2.125	0.496	3.778	0.00	5.17
24.430	2.115	0.505	3.778	0.00	5.17
24.506	2.110	0.501	3.778	0.00	5.17
24.578	2.115	0.501	3.778	0.00	5.17
24.650	2.086	0.501	3.783	0.00	5.17
24.722	2.100	0.501	3.783	0.00	5.17
24.801	2.081	0.505	3.778	0.00	5.17
24.873	2.071	0.501	3.778	0.00	5.17
24.945	2.071	0.501	3.778	0.00	5.17
25.017	2.071	0.501	3.778	5.94	5.17
25.090	2.071	0.510	3.778	5.94	5.17
25.162	2.071	0.501	3.783	5.94	5.17
25.234	2.081	0.505	3.778	5.94	5.17
25.307	2.081	0.501	3.783	5.94	5.17
25.378	2.090	0.496	3.783	5.94	0.00
25.451	2.086	0.505	3.778	5.94	0.00
